3,90,0,-180,270,0
5,90,0,-180,270,0
8,90,0,-180,270,0
10,90,0,-180,270,0
13,90,0,-180,270,0
15,90,0,-180,270,0
18,90,0,-180,270,0
20,90,0,-180,270,0
25,90,0,-180,270,0
28,90,0,-180,270,0
30,90,0,-180,270,0
33,90,0,-180,270,0
36,90,0,-180,270,0
38,90,0,-180,270,0
41,90,0,-180,270,0
38,90,0,-180,270,0
36,90,0,-180,270,0
30,90,0,-180,270,0
25,90,0,-180,270,0
20,90,0,-180,270,0
13,90,0,-180,270,0
10,90,0,-180,270,0
5,90,0,-180,270,0
3,90,0,-180,270,0
0,90,0,-180,270,0
-3,90,0,-180,270,0
-5,90,0,-180,270,0
-8,90,0,-180,270,0
-10,90,0,-180,270,0
-15,90,0,-180,270,0
-15,92,0,-180,270,0
-15,93,0,-180,270,0
-15,97,0,-180,270,0
-15,102,0,-180,270,0
-15,105,0,-180,270,0
-15,107,0,-180,270,0
-15,109,0,-180,270,0
-15,114,0,-180,270,0
-15,119,0,-180,270,0
-15,122,0,-180,270,0
-15,126,0,-180,270,0
-15,129,0,-180,270,0
-15,131,0,-180,270,0
-15,132,0,-180,270,0
-15,134,0,-180,270,0
-15,134,-1,-180,270,0
-15,134,-2,-180,270,0
-15,134,-4,-180,270,0
-15,134,-5,-180,270,0
-15,134,-6,-180,270,0
-15,134,-7,-180,270,0
-15,134,-8,-180,270,0
-15,134,-10,-180,270,0
-15,134,-11,-180,270,0
-15,134,-12,-180,270,0
-15,134,-13,-180,270,0
-15,134,-15,-180,270,0
-15,134,-16,-180,270,0
-15,134,-17,-180,270,0
-15,134,-18,-180,270,0
-15,134,-20,-180,270,0
-15,134,-21,-180,270,0
-15,134,-22,-180,270,0
-15,134,-23,-180,270,0
-15,134,-24,-180,270,0
-15,134,-27,-180,270,0
-15,134,-28,-180,270,0
-15,134,-29,-180,270,0
-15,134,-31,-180,270,0
-15,134,-32,-180,270,0
-15,134,-33,-180,270,0
-15,134,-34,-180,270,0
-15,134,-36,-180,270,0
-15,134,-37,-180,270,0
-15,134,-38,-180,270,0
-15,134,-39,-180,270,0
-15,134,-42,-180,270,0
-15,134,-43,-180,270,0
-15,134,-44,-180,270,0
-15,134,-45,-180,270,0
-15,134,-48,-180,270,0
-15,134,-49,-180,270,0
-15,134,-50,-180,270,0
-15,134,-50,-185,270,0
-15,134,-50,-185,269,0
-15,134,-50,-185,267,0
-15,134,-50,-185,263,0
-15,134,-50,-185,259,0
-15,134,-50,-185,256,0
-15,134,-50,-185,252,0
-15,134,-50,-185,246,0
-15,134,-50,-185,245,0
-15,134,-50,-185,241,0
-15,134,-50,-185,239,0
-15,134,-50,-185,237,0
-15,134,-50,-185,235,0
